Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"verifyElementText(findTestObject(""ORF_WelcomeScreen/android.widget.TextView0 - Save money for your dreams.""), ""Save money for your dreams."")",,,2019-01-23 21:48:45,2019-01-23 21:48:48,3.459s,PASSED
closeApplication(),,,2019-01-23 21:48:48,2019-01-23 21:48:51,2.543s,PASSED
,,,,,,
Test Cases/TCF_LauncherActivity/TCS_LauncherActivity_Screen05_SplashToWelcomeScreenTransitionVerification,,Verify that Intro images and Text are shown (and shown in correct order).,2019-01-23 21:48:51,2019-01-23 21:49:56,1m - 4.560s,PASSED
"startApplication(""/Users/vibhakarsaraswat/Documents/devlernings/apks_and_ipas/Android-APKs/com.getdreams_2019-01-14.apk"", true)",,,2019-01-23 21:48:51,2019-01-23 21:49:20,28.421s,PASSED
delay(15),,,2019-01-23 21:49:20,2019-01-23 21:49:35,15.009s,PASSED
"tap(findTestObject(""ORF_LauncherActivity/ORF_LauncherActivity_Screen02_DreamsHelpYou/android.widget.Button0 - NEXT""), 5)",,,2019-01-23 21:49:35,2019-01-23 21:49:36,1.515s,PASSED
"tap(findTestObject(""ORF_LauncherActivity/ORF_LauncherActivity_Screen03_TheAppMake/android.widget.Button0 - NEXT""), 5)",,,2019-01-23 21:49:36,2019-01-23 21:49:38,1.704s,PASSED
"tap(findTestObject(""ORF_LauncherActivity/ORF_LauncherActivity_Screen04_SaveAloneOr/android.widget.Button0 - NEXT""), 5)",,,2019-01-23 21:49:38,2019-01-23 21:49:42,4.039s,PASSED
delay(10),,,2019-01-23 21:49:42,2019-01-23 21:49:52,10.002s,PASSED
"verifyElementExist(findTestObject(""ORF_WelcomeScreen/android.widget.Button0 - LOGIN""), 5, CONTINUE_ON_FAILURE)",,,2019-01-23 21:49:52,2019-01-23 21:49:52,0.222s,PASSED
"verifyElementVisible(findTestObject(""ORF_WelcomeScreen/android.widget.Button1 - BECOME A USER""), 5, CONTINUE_ON_FAILURE)",,,2019-01-23 21:49:52,2019-01-23 21:49:52,0.281s,PASSED
"verifyElementText(findTestObject(""ORF_WelcomeScreen/android.widget.TextView0 - Save money for your dreams.""), ""Save money for your dreams."", CONTINUE_ON_FAILURE)",,,2019-01-23 21:49:52,2019-01-23 21:49:53,0.269s,PASSED
closeApplication(),,,2019-01-23 21:49:53,2019-01-23 21:49:56,2.915s,PASSED
